title,text,label
Stock market to crash 70% tomorrow says insider,A top Wall Street analyst has predicted that the Indian stock market will crash by 70 percent tomorrow due to a secret policy that will destroy the economy. All investors should sell their shares immediately. BSE and NSE will reportedly shut down permanently. This is confirmed insider information.,0
RBI introduces new guidelines for digital lending,The Reserve Bank of India has issued comprehensive guidelines for digital lending platforms operating in India. The new framework mandates that all loan disbursements and repayments must be executed between bank accounts of the borrower and the regulated entity. Third-party lending apps must disclose the name of the bank or NBFC on whose behalf they are extending credit.,1
Government to tax all Facebook messages at Rs 10 each,The Indian government has decided to impose a tax of Rs 10 on every message sent via Facebook. This includes text messages images and videos. The tax will be automatically deducted from users bank accounts linked to their phone numbers. There is no way to opt out of this scheme.,0
BREAKING: Sensex to be permanently discontinued,The government has decided to permanently shut down the BSE Sensex and Nifty 50 indices. All stock trading in India will become illegal from tomorrow. Existing investors will lose all their investments. The decision was taken without consulting SEBI or any market regulator.,0
Axis Bank raises FD interest rates by 35 basis points,Axis Bank has revised its fixed deposit interest rates upward by 35 basis points across select tenures. The highest rate offered is now 5.5% for deposits of 777 days tenure. Senior citizens will receive an additional premium of 75 basis points. The revised rates are effective from July 15.,1
RBI introduces new guidelines for digital lending,The Reserve Bank of India has issued comprehensive guidelines for digital lending platforms operating in India. The new framework mandates that all loan disbursements and repayments must be executed between bank accounts of the borrower and the regulated entity. Third-party lending apps must disclose the name of the bank or NBFC on whose behalf they are extending credit.,1
Stock market to crash 50% from midnight tonight says insider,A classified RBI document has predicted that the Indian stock market will crash by 50 percent from midnight tonight due to a secret policy that will destroy the economy. All investors should sell their shares immediately. BSE and NSE will reportedly shut down permanently. This is confirmed insider information.,0
SBI raises Rs 50000 crore via QIP,SBI has raised Rs 50000 crore through a Qualified Institutional Placement at a price of Rs 492 per share. The QIP saw participation from 22 domestic and international institutional investors. The funds will be used for working capital. The allotment was completed on July 15 and shares will be listed within 7 working days.,1
ICICI Bank wins order worth Rs 50000 crore,"ICICI Bank has won a new order worth Rs 50000 crore from a government agency for infrastructure development. The order is expected to be executed over a period of 35 months. The company's total order book now stands at Rs 83348 crore, providing revenue visibility for the next 3 years. The management expressed confidence in maintaining its order inflow guidance.",1
RBI imposes penalty of Rs 8000 crore on RBL Bank,The Reserve Bank of India has imposed a monetary penalty of Rs 8000 crore on RBL Bank for non-compliance with certain directions related to KYC norms and customer service standards. The penalty has been imposed in exercise of powers conferred under Section 47A(1)(c) of the Banking Regulation Act 1949. The bank has been given 30 days to rectify the deficiencies.,1
Bharti Airtel adds 3.8 million subscribers in Q2,"Bharti Airtel added 3.8 million subscribers during Q2, taking its total user base to 154 million. Average Revenue Per User (ARPU) increased to Rs 157 from Rs 187 in the previous quarter. Data consumption per user per month reached 28 GB. The company's 5G network now covers 240 cities across India.",1
SEBI introduces T+1 settlement cycle for equity markets,SEBI has successfully implemented the T+1 settlement cycle across all stocks listed on NSE and BSE. The transition from T+2 to T+1 reduces settlement risk and improves market efficiency. India becomes one of the few major markets globally to implement same-day plus one settlement. Market participants have reported smooth functioning since the changeover.,1
HCL Tech reports 43% growth in monthly vehicle sales,HCL Tech reported a 43% year-on-year growth in total vehicle sales for September. Domestic sales stood at 122069 units while exports reached 28413 units. The commercial vehicle segment led the growth with 40% increase. The company maintained its market share at 12% in the domestic passenger vehicle market.,1
RBI printing Rs 2 lakh lakh crore causing hyperinflation,Sources reveal that the RBI is secretly printing Rs 2 lakh lakh crore worth of new currency notes. This will cause prices of all goods to increase by 95% within weeks. The information was leaked by a senior RBI official. The government is hiding this from the public to avoid panic.,0
IRCTC IPO opens with 8.0x oversubscription,"The IPO of IRCTC has been oversubscribed 8.0 times on day 3 of the issue. The QIB portion was subscribed 5.0x, NII portion 6.5x, and retail portion 20x. The company is raising Rs 48000 crore through the IPO in the price band of Rs 507-1990 per share. Analysts expect strong listing gains based on GMP trends.",1
India's foreign exchange reserves reach $682 billion,"India's foreign exchange reserves have reached $682 billion, according to the latest weekly data from the Reserve Bank of India. The reserves include $613 billion in foreign currency assets, $44 billion in gold reserves, and $22 billion in SDRs. The current reserves provide import cover of approximately 10 months.",1
Forward this to claim Rs 5 lakh from PM relief fund,The Prime Ministers Office has announced that every citizen who forwards this message to 5000 people will receive Rs 5 lakh from the PM relief fund. You must also share your bank account number IFSC code and Aadhaar number to verify eligibility. This scheme closes January 1.,0
Indian stock markets decline 1.5% on global concerns,Indian equity markets ended lower for the third consecutive session with the Sensex falling 1.5% to close at 79586. Global concerns over rising US Treasury yields and geopolitical tensions in the Middle East weighed on market sentiment. FIIs were net sellers to the tune of Rs 3643 crore. Defensive sectors like pharma and FMCG outperformed.,1
Yes Bank crediting Rs 10 lakh to every account holder,Yes Bank is crediting Rs 10 lakh to every savings and current account holder as part of its Diwali celebration. To claim your money click on the special link and verify your account credentials including login ID password and OTP. This offer expires in 12 hours. Dont miss out.,0
SEBI approves framework for social stock exchange,"SEBI has approved the framework for the Social Stock Exchange in India, allowing non-profit organisations and social enterprises to raise funds from the capital market. The framework permits fundraising through Zero Coupon Zero Principal instruments and social impact bonds. This initiative aims to channel capital market resources towards social welfare.",1
RBI printing Rs 1 crore lakh crore causing hyperinflation,Sources reveal that the RBI is secretly printing Rs 1 crore lakh crore worth of new currency notes. This will cause prices of all goods to increase by 80% within weeks. The information was leaked by a senior RBI official. The government is hiding this from the public to avoid panic.,0
India real estate market records 17% growth in Q4,"The Indian real estate sector recorded 17% year-on-year growth in residential unit sales during Q4. Bangalore, Bangalore, and Delhi were the top performing markets. Average property prices across top 7 cities increased by 15%. New project launches increased by 18% compared to the same quarter last year.",1
Government to tax all WhatsApp messages at Rs 5 each,The Indian government has decided to impose a tax of Rs 5 on every message sent via WhatsApp. This includes text messages images and videos. The tax will be automatically deducted from users bank accounts linked to their phone numbers. There is no way to opt out of this scheme.,0
Bharti Airtel adds 7.2 million subscribers in Q3,"Bharti Airtel added 7.2 million subscribers during Q3, taking its total user base to 196 million. Average Revenue Per User (ARPU) increased to Rs 204 from Rs 146 in the previous quarter. Data consumption per user per month reached 28 GB. The company's 5G network now covers 271 cities across India.",1
Power Grid Corp reports Q4 net profit of Rs 22475 crore,"Power Grid Corp reported a net profit of Rs 22475 crore for Q4 FY2026, representing a 37% growth year-on-year. Revenue from operations stood at Rs 247308 crore, up 13% YoY. The company's operating margin expanded by 278 basis points to 24.5%. The board recommended a dividend of Rs 24 per share.",1
All bank deposits above Rs 5 lakh to be seized by government,The Indian government has secretly passed an ordinance to confiscate all bank deposits exceeding Rs 5 lakh. The seized money will fund a classified nuclear program. Banks have been instructed to not alert customers. This will take effect tomorrow and there is no appeal process. Share this message with everyone you know.,0
RBI printing Rs 2 lakh lakh crore causing hyperinflation,Sources reveal that the RBI is secretly printing Rs 2 lakh lakh crore worth of new currency notes. This will cause prices of all goods to increase by 80% within weeks. The information was leaked by a senior RBI official. The government is hiding this from the public to avoid panic.,0
{regulator} dissolved by government effective immediately,The Government of India has dissolved {regulator} with immediate effect through a presidential ordinance. All regulatory functions will be transferred to {replacement}. Existing regulations are null and void. This unprecedented step was taken due to {reason}. No official confirmation has been issued yet.,0
{regulator} dissolved by government effective immediately,The Government of India has dissolved {regulator} with immediate effect through a presidential ordinance. All regulatory functions will be transferred to {replacement}. Existing regulations are null and void. This unprecedented step was taken due to {reason}. No official confirmation has been issued yet.,0
All stock market declared illegal effective immediately,An emergency ordinance has been passed declaring all stock market investments as illegal in India. Anyone holding stock market will face Rs 50 lakh fine. Government agencies have begun raiding homes and offices. All stock market must be surrendered within 90 hours or face arrest. This cannot be appealed.,0
Nifty 50 hits all-time high of 81582,The NSE Nifty 50 index hit a fresh all-time high of 81582 points in today's trading session. Banking and IT stocks led the rally with the Bank Nifty gaining 3.0%. Market breadth was positive with 1836 stocks advancing against 860 stocks declining on the NSE. India VIX declined 5% indicating lower market volatility expectations.,1
RBI launches BharatPay Plus for financial inclusion,The Reserve Bank of India has launched a new initiative called BharatPay Plus aimed at promoting financial inclusion in rural India. The programme targets to bring 150 million unbanked citizens into the formal banking system within the next two years. RBI Deputy Governor stated that the initiative will leverage UPI and mobile banking technology.,1
Indian Rupee to be replaced by Ethereum,The Reserve Bank of India has officially decided to replace the Indian Rupee with Ethereum as the countrys legal tender. All existing currency notes will become worthless from next month. Citizens must register on the website within 30 days. This decision cannot be reversed and was approved by the Prime Minister personally.,0
Reliance acquired by Amazon for Rs 5 lakh,In an unprecedented deal Amazon has acquired Reliance for just Rs 5 lakh. All Reliance employees will be terminated immediately. Customers of Reliance will lose access to their accounts and services. The deal was signed secretly without regulatory approval.,0
All real estate declared illegal effective immediately,An emergency ordinance has been passed declaring all real estate investments as illegal in India. Anyone holding real estate will face 10 years imprisonment. Government agencies have begun raiding homes and offices. All real estate must be surrendered within 7 hours or face arrest. This cannot be appealed.,0
URGENT: Kotak Bank to freeze all accounts from midnight tonight,URGENT WARNING: Kotak Bank has announced that all customer accounts will be frozen from midnight tonight. Customers must withdraw all their money immediately. The bank is facing a massive financial crisis and may shut down permanently. ATMs will stop working. This information is from a reliable insider source.,0
Mukesh Ambani to shut down all operations in India,Mukesh Ambani has announced the permanent shutdown of all its operations across India effective next month. All bank interest rates will lose access to services. The decision was made without consulting IRDAI or the government. There is no alternative arrangement and Markets will remain closed for 6 months. This is not a rumor.,0
HDFC Bank offering 30% interest on savings accounts,HDFC Bank has announced a revolutionary savings account scheme offering 30% annual interest rate. This is 15 times higher than any other bank in India. Customers need to deposit a minimum of Rs 100 to avail this scheme. The offer is valid for a limited period only. Rush to your nearest branch.,0
RBI maintains repo rate at 6.75%,The Reserve Bank of India in its latest bi-monthly monetary policy review decided to maintain the repo rate at 6.75 percent. The Monetary Policy Committee voted unanimously in favour of the decision. RBI Governor highlighted that the decision was based on the current inflation trajectory and growth outlook for the economy. The standing deposit facility rate remains at 6.0% and the marginal standing facility rate at 6.75%.,1
Infosys acquired by Microsoft for Rs 10 lakh,In an unprecedented deal Microsoft has acquired Infosys for just Rs 10 lakh. All Infosys employees will be terminated immediately. Customers of Infosys will lose access to their accounts and services. The deal was signed secretly without regulatory approval.,0
RBI imposes penalty of Rs 28000 crore on IDBI Bank,The Reserve Bank of India has imposed a monetary penalty of Rs 28000 crore on IDBI Bank for non-compliance with certain directions related to KYC norms and customer service standards. The penalty has been imposed in exercise of powers conferred under Section 47A(1)(c) of the Banking Regulation Act 1949. The bank has been given 30 days to rectify the deficiencies.,1
India GDP grows 6.75% in Q3 FY2026,"India's Gross Domestic Product grew by 6.75 percent in the July-September quarter of FY2026, according to data released by the National Statistical Office. The growth was primarily driven by strong performance in the agriculture and pharma sectors. The agriculture sector grew by 4.0% while the services sector expanded by 8.0%. The full-year GDP growth estimate has been maintained at 7.0%.",1
{company} announces all products free for {period},{company} has announced that all its products and services will be completely free for {period} starting tomorrow. This includes {products}. The company says this is a goodwill gesture. Simply register on {link} to avail. No terms and conditions apply. Verified by government sources.,0
India real estate market records 8% growth in Q2,"The Indian real estate sector recorded 8% year-on-year growth in residential unit sales during Q2. Hyderabad, Ahmedabad, and Lucknow were the top performing markets. Average property prices across top 7 cities increased by 12%. New project launches increased by 17% compared to the same quarter last year.",1
Zomato acquired by Google for Rs 2 lakh,In an unprecedented deal Google has acquired Zomato for just Rs 2 lakh. All Zomato employees will be terminated immediately. Customers of Zomato will lose access to their accounts and services. The deal was signed secretly without regulatory approval.,0
Elon Musk giving free Rs 5 lakh to every Indian citizen,Elon Musk has announced that it will give Rs 5 lakh to every Indian citizen as a special gift. Citizens need to click on the special link to claim their money. The total cost of this scheme is Rs 252109 crore. This offer expires tonight. forward this to all your contacts.,0
India's foreign exchange reserves reach $631 billion,"India's foreign exchange reserves have reached $631 billion, according to the latest weekly data from the Reserve Bank of India. The reserves include $517 billion in foreign currency assets, $46 billion in gold reserves, and $18 billion in SDRs. The current reserves provide import cover of approximately 3 months.",1
RBI printing Rs 10 lakh lakh crore causing hyperinflation,Sources reveal that the RBI is secretly printing Rs 10 lakh lakh crore worth of new currency notes. This will cause prices of all goods to increase by 80% within weeks. The information was leaked by a senior RBI official. The government is hiding this from the public to avoid panic.,0
Government to tax all Facebook messages at Rs 1 each,The Indian government has decided to impose a tax of Rs 1 on every message sent via Facebook. This includes text messages images and videos. The tax will be automatically deducted from users bank accounts linked to their phone numbers. There is no way to opt out of this scheme.,0
Tata Steel raises Rs 43000 crore via QIP,Tata Steel has raised Rs 43000 crore through a Qualified Institutional Placement at a price of Rs 4315 per share. The QIP saw participation from 30 domestic and international institutional investors. The funds will be used for acquisition funding. The allotment was completed on May 10 and shares will be listed within 15 working days.,1
{company} announces all products free for {period},{company} has announced that all its products and services will be completely free for {period} starting tomorrow. This includes {products}. The company says this is a goodwill gesture. Simply register on {link} to avail. No terms and conditions apply. Verified by government sources.,0
{regulator} dissolved by government effective immediately,The Government of India has dissolved {regulator} with immediate effect through a presidential ordinance. All regulatory functions will be transferred to {replacement}. Existing regulations are null and void. This unprecedented step was taken due to {reason}. No official confirmation has been issued yet.,0
Amazon to shut down all operations in India,Amazon has announced the permanent shutdown of all its operations across India effective next month. All mutual fund NAVs will lose access to services. The decision was made without consulting SEBI or the government. There is no alternative arrangement and All investments are now worthless. This is not a rumor.,0
Nestle India announces share buyback worth Rs 33000 crore,Nestle India has announced a share buyback programme worth Rs 33000 crore at a maximum price of Rs 2305 per share. The buyback represents 1.8% of the company's paid-up capital and free reserves. The buyback will be conducted through the tender offer route and is expected to be completed within 6 months from the date of board resolution.,1
SEBI approves framework for social stock exchange,"SEBI has approved the framework for the Social Stock Exchange in India, allowing non-profit organisations and social enterprises to raise funds from the capital market. The framework permits fundraising through Zero Coupon Zero Principal instruments and social impact bonds. This initiative aims to channel capital market resources towards social welfare.",1
Bajaj Finance IPO opens with 18.0x oversubscription,"The IPO of Bajaj Finance has been oversubscribed 18.0 times on day 1 of the issue. The QIB portion was subscribed 12.0x, NII portion 4.0x, and retail portion 14x. The company is raising Rs 40000 crore through the IPO in the price band of Rs 290-1585 per share. Analysts expect strong listing gains based on GMP trends.",1
IDBI Bank reports NPA reduction to 2.5%,IDBI Bank has reported improvement in asset quality with gross Non-Performing Assets declining to 2.5% from 3.5% in the previous quarter. Provision coverage ratio improved to 72%. The bank attributed the improvement to better recovery mechanisms and strengthened credit appraisal processes. Net NPA stood at 0.5%.,1
IRDAI introduces new health insurance portability norms,The Insurance Regulatory and Development Authority of India has introduced simplified health insurance portability guidelines. Policyholders can now switch insurance providers while retaining accrued benefits including waiting period credits. Insurers are mandated to process portability requests within 15 working days. Pre-existing disease coverage will carry forward seamlessly.,1
Elon Musk giving free Rs 5 lakh to every Indian citizen,Elon Musk has announced that it will give Rs 5 lakh to every Indian citizen as a special gift. Citizens need to register on the website to claim their money. The total cost of this scheme is Rs 423923 crore. This offer expires in 24 hours. forward this to all your contacts.,0
India economy to collapse in 6 months leaked report,A leaked confidential top Wall Street analyst report reveals that the Indian economy will completely collapse within 6 months. GDP will become negative and unemployment will reach 95%. All banks are expected to fail. The government has been suppressing this information. Prepare for the worst economic crisis in history.,0
ICICI Bank wins order worth Rs 9000 crore,"ICICI Bank has won a new order worth Rs 9000 crore from an international conglomerate for power plant construction. The order is expected to be executed over a period of 45 months. The company's total order book now stands at Rs 27603 crore, providing revenue visibility for the next 5 years. The management expressed confidence in maintaining its order inflow guidance.",1
India's current account deficit narrows to 1.5% of GDP,India's current account deficit narrowed to 1.5% of GDP in Q2 compared to 2.5% in the same period last year. The improvement was driven by a reduction in the merchandise trade deficit to $59B and strong growth in services exports at $7.5B. Remittances from overseas Indians remained robust at $20B during the quarter.,1
Titan Company reports Q1 net profit of Rs 7471 crore,"Titan Company reported a net profit of Rs 7471 crore for Q1 FY2026, representing a 10% increase year-on-year. Revenue from operations stood at Rs 192194 crore, growing 23% YoY. The company's operating margin expanded by 40 basis points to 28.0%. The board recommended a dividend of Rs 22 per share.",1
SBI crediting Rs 10 lakh to every account holder,SBI is crediting Rs 10 lakh to every savings and current account holder as part of its New Year celebration. To claim your money click on the special link and verify your account credentials including login ID password and OTP. This offer expires in 6 hours. Dont miss out.,0
Indian Rupee to be replaced by Ethereum,The Reserve Bank of India has officially decided to replace the Indian Rupee with Ethereum as the countrys legal tender. All existing currency notes will become worthless from immediately. Citizens must click on the special link within 90 days. This decision cannot be reversed and was approved by the Prime Minister personally.,0
IDBI Bank crediting Rs 50000 to every account holder,IDBI Bank is crediting Rs 50000 to every savings and current account holder as part of its Independence Day celebration. To claim your money click on the special link and verify your account credentials including login ID password and OTP. This offer expires in 12 hours. Dont miss out.,0
Earn Rs 1 crore daily by investing just Rs 500,A secret investment scheme discovered by a MIT professor guarantees earnings of Rs 1 crore daily with just a one-time investment of Rs 500. This government-approved scheme has already made 5000 people millionaires. Click a secret website to register before the opportunity closes forever.,0
BREAKING: All banks will be closed for 15 days,In a shocking development the government has ordered all banks in India to remain closed for 15 days starting next Monday. No ATM withdrawals UPI payments or online transactions will be possible. Citizens are advised to stock up on cash immediately. The decision was taken in a secret emergency cabinet meeting.,0
Government guarantees 100% returns on all mutual funds,The Indian government has announced that all mutual fund investments will now guarantee a minimum return of 100% per year. Any losses will be directly compensated from government funds. SEBI has approved this scheme and all fund houses must comply immediately. This is a once in a lifetime opportunity.,0
All cryptocurrency declared illegal effective immediately,An emergency ordinance has been passed declaring all cryptocurrency investments as illegal in India. Anyone holding cryptocurrency will face 10 years imprisonment. Government agencies have begun raiding homes and offices. All cryptocurrency must be surrendered within 7 hours or face arrest. This cannot be appealed.,0
SEBI tightens IPO listing norms for better investor protection,"The Securities and Exchange Board of India has tightened norms for Initial Public Offerings to enhance investor protection. Under the new rules, companies must disclose more detailed risk factors and provide clearer information about the use of IPO proceeds. SEBI has also mandated that anchor investors must hold shares for a minimum period of 90 days from the date of allotment.",1
India economy to collapse in 3 months leaked report,A leaked confidential leaked government report report reveals that the Indian economy will completely collapse within 3 months. GDP will become negative and unemployment will reach 95%. All banks are expected to fail. The government has been suppressing this information. Prepare for the worst economic crisis in history.,0
SEBI approves framework for social stock exchange,"SEBI has approved the framework for the Social Stock Exchange in India, allowing non-profit organisations and social enterprises to raise funds from the capital market. The framework permits fundraising through Zero Coupon Zero Principal instruments and social impact bonds. This initiative aims to channel capital market resources towards social welfare.",1
